phone_id,number,format_variants,registered_person_id,sim_status,carrier
PH-000001,+918272845084,8272845084;+91-8272845084;+91 82728 45084,P-000001,active,BSNL
PH-000055,+917063179792,7063179792;+91-7063179792;+91 70631 79792,,suspected_fake,Airtel
PH-000056,+919638193753,9638193753;+91-9638193753;+91 96381 93753,,suspected_fake,Vi
PH-000057,+916792851590,6792851590;+91-6792851590;+91 67928 51590,,suspected_fake,BSNL
PH-000058,+917850715832,7850715832;+91-7850715832;+91 78507 15832,,prepaid_unregistered,Jio
PH-000059,+918494724473,8494724473;+91-8494724473;+91 84947 24473,,prepaid_unregistered,Jio
PH-000060,+917723526467,7723526467;+91-7723526467;+91 77235 26467,,prepaid_unregistered,Jio
PH-000061,+918064285364,8064285364;+91-8064285364;+91 80642 85364,,prepaid_unregistered,Jio
PH-000062,+918788932258,8788932258;+91-8788932258;+91 87889 32258,,suspected_fake,BSNL
PH-000063,+917141314875,7141314875;+91-7141314875;+91 71413 14875,,suspected_fake,Vi
PH-000064,+918509190029,8509190029;+91-8509190029;+91 85091 90029,,suspected_fake,Airtel
PH-000065,+919337857044,9337857044;+91-9337857044;+91 93378 57044,,prepaid_unregistered,Airtel
PH-000066,+919584139544,9584139544;+91-9584139544;+91 95841 39544,,suspected_fake,Airtel
PH-000067,+917019659265,7019659265;+91-7019659265;+91 70196 59265,,prepaid_unregistered,Jio
PH-000068,+917884291820,7884291820;+91-7884291820;+91 78842 91820,,suspected_fake,BSNL
PH-000069,+917869720510,7869720510;+91-7869720510;+91 78697 20510,,suspected_fake,Jio
PH-000070,+916902244182,6902244182;+91-6902244182;+91 69022 44182,,prepaid_unregistered,BSNL
PH-000071,+917845227276,7845227276;+91-7845227276;+91 78452 27276,,suspected_fake,Vi
PH-000072,+919285836518,9285836518;+91-9285836518;+91 92858 36518,,suspected_fake,BSNL
PH-000073,+916889194912,6889194912;+91-6889194912;+91 68891 94912,,prepaid_unregistered,Vi
PH-000074,+919081126450,9081126450;+91-9081126450;+91 90811 26450,,suspected_fake,Vi
PH-000075,+916555277054,6555277054;+91-6555277054;+91 65552 77054,,suspected_fake,Airtel
PH-000076,+918058658895,8058658895;+91-8058658895;+91 80586 58895,,suspected_fake,Jio
PH-000077,+916413600848,6413600848;+91-6413600848;+91 64136 00848,,prepaid_unregistered,Jio
PH-000078,+919881231279,9881231279;+91-9881231279;+91 98812 31279,,prepaid_unregistered,Airtel
PH-000079,+917030326822,7030326822;+91-7030326822;+91 70303 26822,,prepaid_unregistered,BSNL
PH-000080,+919403548705,9403548705;+91-9403548705;+91 94035 48705,,suspected_fake,Jio
PH-000081,+919299850788,9299850788;+91-9299850788;+91 92998 50788,,suspected_fake,Vi
PH-000082,+919659070171,9659070171;+91-9659070171;+91 96590 70171,,suspected_fake,BSNL
PH-000083,+918347178879,8347178879;+91-8347178879;+91 83471 78879,,suspected_fake,Vi
PH-000084,+919361618528,9361618528;+91-9361618528;+91 93616 18528,,suspected_fake,Jio
PH-000085,+917333506440,7333506440;+91-7333506440;+91 73335 06440,,suspected_fake,BSNL
PH-000086,+918869492777,8869492777;+91-8869492777;+91 88694 92777,,prepaid_unregistered,BSNL
PH-000087,+916179528072,6179528072;+91-6179528072;+91 61795 28072,,suspected_fake,Vi
PH-000088,+916509556915,6509556915;+91-6509556915;+91 65095 56915,,suspected_fake,Vi
PH-000089,+918220917853,8220917853;+91-8220917853;+91 82209 17853,,prepaid_unregistered,Airtel
PH-000090,+916536845480,6536845480;+91-6536845480;+91 65368 45480,,suspected_fake,Vi
PH-000091,+918198694056,8198694056;+91-8198694056;+91 81986 94056,,suspected_fake,Vi
PH-000092,+918050903887,8050903887;+91-8050903887;+91 80509 03887,,suspected_fake,Vi
PH-000093,+916845121773,6845121773;+91-6845121773;+91 68451 21773,,prepaid_unregistered,Vi
PH-000094,+918746989310,8746989310;+91-8746989310;+91 87469 89310,,suspected_fake,Airtel
PH-000095,+917752669463,7752669463;+91-7752669463;+91 77526 69463,,suspected_fake,Airtel
PH-000096,+917247920095,7247920095;+91-7247920095;+91 72479 20095,,suspected_fake,Airtel
PH-000097,+919433917313,9433917313;+91-9433917313;+91 94339 17313,,suspected_fake,Jio
PH-000098,+916791565726,6791565726;+91-6791565726;+91 67915 65726,,suspected_fake,Jio
PH-000099,+918672811787,8672811787;+91-8672811787;+91 86728 11787,,suspected_fake,Jio
PH-000100,+918219677629,8219677629;+91-8219677629;+91 82196 77629,,prepaid_unregistered,BSNL
PH-000101,+917748198255,7748198255;+91-7748198255;+91 77481 98255,,suspected_fake,Jio
PH-000102,+917768768233,7768768233;+91-7768768233;+91 77687 68233,,suspected_fake,Vi
PH-000103,+916141727706,6141727706;+91-6141727706;+91 61417 27706,,suspected_fake,Airtel
PH-000104,+919308235653,9308235653;+91-9308235653;+91 93082 35653,,suspected_fake,Jio
PH-000105,+918303580040,8303580040;+91-8303580040;+91 83035 80040,,suspected_fake,Airtel
PH-000106,+916686750972,6686750972;+91-6686750972;+91 66867 50972,,suspected_fake,Jio
PH-000107,+919594870455,9594870455;+91-9594870455;+91 95948 70455,,suspected_fake,Airtel
PH-000108,+919086171140,9086171140;+91-9086171140;+91 90861 71140,,suspected_fake,Jio
PH-000109,+919315908699,9315908699;+91-9315908699;+91 93159 08699,,suspected_fake,Airtel
PH-000110,+916233255605,6233255605;+91-6233255605;+91 62332 55605,,suspected_fake,Jio
PH-000111,+919348035637,9348035637;+91-9348035637;+91 93480 35637,,prepaid_unregistered,Jio
PH-000112,+918056936961,8056936961;+91-8056936961;+91 80569 36961,,suspected_fake,Airtel
PH-000113,+918817019030,8817019030;+91-8817019030;+91 88170 19030,,prepaid_unregistered,Jio
PH-000114,+919634525727,9634525727;+91-9634525727;+91 96345 25727,,suspected_fake,BSNL
PH-000115,+916438374999,6438374999;+91-6438374999;+91 64383 74999,,prepaid_unregistered,Vi
PH-000116,+916821132027,6821132027;+91-6821132027;+91 68211 32027,,suspected_fake,Vi
PH-000117,+918637043526,8637043526;+91-8637043526;+91 86370 43526,,suspected_fake,Vi
PH-000118,+918208497031,8208497031;+91-8208497031;+91 82084 97031,,prepaid_unregistered,BSNL
PH-000119,+917721878105,7721878105;+91-7721878105;+91 77218 78105,,suspected_fake,Jio
PH-000120,+919810394112,9810394112;+91-9810394112;+91 98103 94112,,suspected_fake,Airtel
PH-000121,+917964346916,7964346916;+91-7964346916;+91 79643 46916,,suspected_fake,BSNL
PH-000122,+919168222422,9168222422;+91-9168222422;+91 91682 22422,,suspected_fake,Jio
PH-000123,+919823322617,9823322617;+91-9823322617;+91 98233 22617,,suspected_fake,Vi
PH-000124,+916319800199,6319800199;+91-6319800199;+91 63198 00199,,prepaid_unregistered,Airtel
PH-000125,+916539685569,6539685569;+91-6539685569;+91 65396 85569,,suspected_fake,Jio
PH-000126,+916433296736,6433296736;+91-6433296736;+91 64332 96736,,prepaid_unregistered,Jio
PH-000127,+916766446470,6766446470;+91-6766446470;+91 67664 46470,,suspected_fake,Vi
PH-000128,+916728441771,6728441771;+91-6728441771;+91 67284 41771,,suspected_fake,Jio
PH-000129,+919757848569,9757848569;+91-9757848569;+91 97578 48569,,suspected_fake,Airtel
PH-000130,+916542555679,6542555679;+91-6542555679;+91 65425 55679,,prepaid_unregistered,Airtel
PH-000131,+917235365629,7235365629;+91-7235365629;+91 72353 65629,,suspected_fake,Airtel
PH-000132,+917502899145,7502899145;+91-7502899145;+91 75028 99145,,suspected_fake,BSNL
PH-000133,+918685348337,8685348337;+91-8685348337;+91 86853 48337,,suspected_fake,BSNL
PH-000134,+916371684111,6371684111;+91-6371684111;+91 63716 84111,,suspected_fake,Jio
PH-000135,+919175427202,9175427202;+91-9175427202;+91 91754 27202,,suspected_fake,Jio
PH-000136,+919923747016,9923747016;+91-9923747016;+91 99237 47016,,suspected_fake,Jio
PH-000137,+918149042329,8149042329;+91-8149042329;+91 81490 42329,,suspected_fake,BSNL
PH-000138,+917702385440,7702385440;+91-7702385440;+91 77023 85440,,prepaid_unregistered,BSNL
PH-000139,+916364724123,6364724123;+91-6364724123;+91 63647 24123,,suspected_fake,Jio
PH-000140,+919215758622,9215758622;+91-9215758622;+91 92157 58622,,suspected_fake,BSNL
PH-000141,+916971116231,6971116231;+91-6971116231;+91 69711 16231,,suspected_fake,Airtel
PH-000142,+918116851082,8116851082;+91-8116851082;+91 81168 51082,,suspected_fake,Airtel
PH-000143,+919975151161,9975151161;+91-9975151161;+91 99751 51161,,suspected_fake,Jio
PH-000144,+918980551739,8980551739;+91-8980551739;+91 89805 51739,,suspected_fake,Jio
PH-000145,+917209290012,7209290012;+91-7209290012;+91 72092 90012,,suspected_fake,Vi
PH-000146,+917115389029,7115389029;+91-7115389029;+91 71153 89029,,suspected_fake,BSNL
PH-000147,+916113201144,6113201144;+91-6113201144;+91 61132 01144,,prepaid_unregistered,BSNL
PH-000148,+919570931970,9570931970;+91-9570931970;+91 95709 31970,,suspected_fake,BSNL
PH-000149,+919969620959,9969620959;+91-9969620959;+91 99696 20959,,suspected_fake,Jio
PH-000150,+916845897714,6845897714;+91-6845897714;+91 68458 97714,,suspected_fake,Jio
PH-000151,+916836735542,6836735542;+91-6836735542;+91 68367 35542,,prepaid_unregistered,Vi
PH-000152,+917419900459,7419900459;+91-7419900459;+91 74199 00459,,suspected_fake,Vi
PH-000153,+917653179113,7653179113;+91-7653179113;+91 76531 79113,,suspected_fake,Airtel
PH-000154,+918977867085,8977867085;+91-8977867085;+91 89778 67085,,suspected_fake,BSNL
PH-000155,+916760553190,6760553190;+91-6760553190;+91 67605 53190,,suspected_fake,BSNL
PH-000156,+918321605691,8321605691;+91-8321605691;+91 83216 05691,,suspected_fake,Airtel
PH-000157,+916678092051,6678092051;+91-6678092051;+91 66780 92051,,suspected_fake,Airtel
PH-000158,+917314765229,7314765229;+91-7314765229;+91 73147 65229,,prepaid_unregistered,Airtel
PH-000159,+916189719952,6189719952;+91-6189719952;+91 61897 19952,,prepaid_unregistered,Jio
PH-000160,+919032119865,9032119865;+91-9032119865;+91 90321 19865,,suspected_fake,Airtel
PH-000161,+918282785443,8282785443;+91-8282785443;+91 82827 85443,,suspected_fake,Vi
PH-000162,+919483224756,9483224756;+91-9483224756;+91 94832 24756,,suspected_fake,Vi
PH-000163,+919044111725,9044111725;+91-9044111725;+91 90441 11725,,suspected_fake,BSNL
PH-000164,+919389217244,9389217244;+91-9389217244;+91 93892 17244,,prepaid_unregistered,BSNL
PH-000165,+919268056048,9268056048;+91-9268056048;+91 92680 56048,,prepaid_unregistered,Vi
PH-000166,+917734712944,7734712944;+91-7734712944;+91 77347 12944,,prepaid_unregistered,Jio
PH-000167,+918065581947,8065581947;+91-8065581947;+91 80655 81947,,suspected_fake,BSNL
PH-000168,+916051280743,6051280743;+91-6051280743;+91 60512 80743,,prepaid_unregistered,Airtel
PH-000169,+918095498311,8095498311;+91-8095498311;+91 80954 98311,,suspected_fake,Airtel
PH-000170,+916735409313,6735409313;+91-6735409313;+91 67354 09313,,suspected_fake,BSNL
PH-000171,+918958585308,8958585308;+91-8958585308;+91 89585 85308,,suspected_fake,Airtel
PH-000172,+919135870393,9135870393;+91-9135870393;+91 91358 70393,,suspected_fake,Jio
PH-000173,+917525387825,7525387825;+91-7525387825;+91 75253 87825,,suspected_fake,BSNL
PH-000174,+917478000751,7478000751;+91-7478000751;+91 74780 00751,,suspected_fake,Jio
PH-000175,+918651837878,8651837878;+91-8651837878;+91 86518 37878,,suspected_fake,BSNL
PH-000176,+917328816600,7328816600;+91-7328816600;+91 73288 16600,,suspected_fake,Jio
PH-000177,+916824861766,6824861766;+91-6824861766;+91 68248 61766,,suspected_fake,Vi
PH-000178,+916832853505,6832853505;+91-6832853505;+91 68328 53505,,suspected_fake,Vi
PH-000179,+917463588147,7463588147;+91-7463588147;+91 74635 88147,,suspected_fake,Vi
PH-000180,+918379859661,8379859661;+91-8379859661;+91 83798 59661,,suspected_fake,BSNL
PH-000181,+917529253332,7529253332;+91-7529253332;+91 75292 53332,,suspected_fake,Vi
PH-000182,+916176987157,6176987157;+91-6176987157;+91 61769 87157,,prepaid_unregistered,Vi
PH-000183,+916116154584,6116154584;+91-6116154584;+91 61161 54584,,suspected_fake,Jio
PH-000184,+916835726023,6835726023;+91-6835726023;+91 68357 26023,,prepaid_unregistered,Vi
PH-000185,+918956269287,8956269287;+91-8956269287;+91 89562 69287,,suspected_fake,Airtel
PH-000186,+918699494013,8699494013;+91-8699494013;+91 86994 94013,,prepaid_unregistered,Jio
PH-000187,+918012783628,8012783628;+91-8012783628;+91 80127 83628,,suspected_fake,Airtel
PH-000188,+917320818751,7320818751;+91-7320818751;+91 73208 18751,,suspected_fake,Vi
PH-000189,+919806880695,9806880695;+91-9806880695;+91 98068 80695,,suspected_fake,Jio
PH-000190,+919908380229,9908380229;+91-9908380229;+91 99083 80229,,suspected_fake,BSNL
PH-000191,+916239186820,6239186820;+91-6239186820;+91 62391 86820,,suspected_fake,BSNL
PH-000192,+916371316199,6371316199;+91-6371316199;+91 63713 16199,,suspected_fake,Airtel
PH-000193,+919267916947,9267916947;+91-9267916947;+91 92679 16947,,suspected_fake,BSNL
PH-000194,+918898934701,8898934701;+91-8898934701;+91 88989 34701,,prepaid_unregistered,Vi
PH-000195,+916799764689,6799764689;+91-6799764689;+91 67997 64689,,prepaid_unregistered,Airtel
PH-000196,+916379182109,6379182109;+91-6379182109;+91 63791 82109,,suspected_fake,Jio
PH-000197,+918690858186,8690858186;+91-8690858186;+91 86908 58186,,suspected_fake,BSNL
PH-000198,+917171875519,7171875519;+91-7171875519;+91 71718 75519,,suspected_fake,Jio
PH-000199,+918737272359,8737272359;+91-8737272359;+91 87372 72359,,suspected_fake,Jio
PH-000200,+919647606637,9647606637;+91-9647606637;+91 96476 06637,,suspected_fake,BSNL
PH-000201,+918703548423,8703548423;+91-8703548423;+91 87035 48423,,prepaid_unregistered,Airtel
PH-000202,+917521820485,7521820485;+91-7521820485;+91 75218 20485,,suspected_fake,Vi
PH-000203,+917783911809,7783911809;+91-7783911809;+91 77839 11809,,suspected_fake,BSNL
PH-000204,+918892982621,8892982621;+91-8892982621;+91 88929 82621,,prepaid_unregistered,Jio
PH-000205,+916860478808,6860478808;+91-6860478808;+91 68604 78808,,suspected_fake,BSNL
PH-000206,+918718227205,8718227205;+91-8718227205;+91 87182 27205,,prepaid_unregistered,Vi
PH-000207,+916231002340,6231002340;+91-6231002340;+91 62310 02340,,suspected_fake,Jio
PH-000208,+918518725717,8518725717;+91-8518725717;+91 85187 25717,,prepaid_unregistered,Airtel
PH-000209,+917713982235,7713982235;+91-7713982235;+91 77139 82235,,suspected_fake,Jio
PH-000210,+918905159515,8905159515;+91-8905159515;+91 89051 59515,,prepaid_unregistered,Vi
PH-000211,+917699423402,7699423402;+91-7699423402;+91 76994 23402,,suspected_fake,Vi
PH-000212,+916507878182,6507878182;+91-6507878182;+91 65078 78182,,suspected_fake,Vi
PH-000213,+919323795044,9323795044;+91-9323795044;+91 93237 95044,,suspected_fake,Airtel
PH-000214,+916877488971,6877488971;+91-6877488971;+91 68774 88971,,suspected_fake,BSNL
PH-000215,+917441601430,7441601430;+91-7441601430;+91 74416 01430,,prepaid_unregistered,Jio
PH-000216,+919659286978,9659286978;+91-9659286978;+91 96592 86978,,suspected_fake,Jio
PH-000217,+918725418928,8725418928;+91-8725418928;+91 87254 18928,,suspected_fake,BSNL
PH-000218,+918635701447,8635701447;+91-8635701447;+91 86357 01447,,prepaid_unregistered,Airtel
PH-000219,+918962486587,8962486587;+91-8962486587;+91 89624 86587,,suspected_fake,Vi
PH-000220,+916110461138,6110461138;+91-6110461138;+91 61104 61138,,prepaid_unregistered,Jio
PH-000221,+918810193532,8810193532;+91-8810193532;+91 88101 93532,,prepaid_unregistered,BSNL
PH-000222,+917213710801,7213710801;+91-7213710801;+91 72137 10801,,suspected_fake,Jio
PH-000223,+918255890986,8255890986;+91-8255890986;+91 82558 90986,,suspected_fake,Vi
PH-000224,+918465129814,8465129814;+91-8465129814;+91 84651 29814,,suspected_fake,Vi
PH-000225,+916174996572,6174996572;+91-6174996572;+91 61749 96572,,suspected_fake,BSNL
PH-000226,+918442180325,8442180325;+91-8442180325;+91 84421 80325,,suspected_fake,Vi
PH-000227,+918471338094,8471338094;+91-8471338094;+91 84713 38094,,prepaid_unregistered,Jio
PH-000228,+916851211909,6851211909;+91-6851211909;+91 68512 11909,,prepaid_unregistered,Jio
PH-000229,+918161701532,8161701532;+91-8161701532;+91 81617 01532,,prepaid_unregistered,Airtel
PH-000230,+916624736736,6624736736;+91-6624736736;+91 66247 36736,,prepaid_unregistered,Jio
PH-000231,+916598399788,6598399788;+91-6598399788;+91 65983 99788,,suspected_fake,Jio
PH-000232,+917706823889,7706823889;+91-7706823889;+91 77068 23889,,prepaid_unregistered,Airtel
PH-000233,+919870800614,9870800614;+91-9870800614;+91 98708 00614,,suspected_fake,Vi
PH-000234,+918374734588,8374734588;+91-8374734588;+91 83747 34588,,prepaid_unregistered,Jio
PH-000235,+918681527967,8681527967;+91-8681527967;+91 86815 27967,,suspected_fake,BSNL
PH-000236,+919685252003,9685252003;+91-9685252003;+91 96852 52003,,suspected_fake,Jio
PH-000237,+919726335054,9726335054;+91-9726335054;+91 97263 35054,,suspected_fake,Jio
PH-000238,+918436200830,8436200830;+91-8436200830;+91 84362 00830,,suspected_fake,BSNL
PH-000239,+917991322331,7991322331;+91-7991322331;+91 79913 22331,,suspected_fake,Airtel
PH-000240,+917320142122,7320142122;+91-7320142122;+91 73201 42122,,suspected_fake,Vi
PH-000241,+916084500182,6084500182;+91-6084500182;+91 60845 00182,,suspected_fake,Jio
PH-000242,+919431220974,9431220974;+91-9431220974;+91 94312 20974,,suspected_fake,Airtel
PH-000243,+917407570295,7407570295;+91-7407570295;+91 74075 70295,,prepaid_unregistered,Jio
PH-000244,+919877038763,9877038763;+91-9877038763;+91 98770 38763,,suspected_fake,BSNL
PH-000245,+916343738218,6343738218;+91-6343738218;+91 63437 38218,,suspected_fake,Airtel
PH-000246,+919729715109,9729715109;+91-9729715109;+91 97297 15109,,suspected_fake,Vi
PH-000247,+917899922999,7899922999;+91-7899922999;+91 78999 22999,,suspected_fake,Airtel
PH-000248,+918947461400,8947461400;+91-8947461400;+91 89474 61400,,prepaid_unregistered,Vi
PH-000249,+916461189185,6461189185;+91-6461189185;+91 64611 89185,,suspected_fake,Jio
PH-000250,+917362582660,7362582660;+91-7362582660;+91 73625 82660,,suspected_fake,Airtel
PH-000251,+916122149858,6122149858;+91-6122149858;+91 61221 49858,,suspected_fake,Airtel
PH-000252,+917360197509,7360197509;+91-7360197509;+91 73601 97509,,suspected_fake,Airtel
PH-000253,+916613885409,6613885409;+91-6613885409;+91 66138 85409,,suspected_fake,BSNL
PH-000254,+918886096162,8886096162;+91-8886096162;+91 88860 96162,P-000007,active,Airtel
PH-000255,+919894606033,9894606033;+91-9894606033;+91 98946 06033,P-000008,active,Jio
PH-000256,+916932451011,6932451011;+91-6932451011;+91 69324 51011,P-000009,active,Vi
PH-000257,+916970035520,6970035520;+91-6970035520;+91 69700 35520,P-000010,active,Airtel
PH-000258,+916869862953,6869862953;+91-6869862953;+91 68698 62953,P-000011,active,Vi
PH-000259,+917576791319,7576791319;+91-7576791319;+91 75767 91319,P-000012,active,Vi
PH-000260,+917758797730,7758797730;+91-7758797730;+91 77587 97730,P-000013,active,Vi
PH-000261,+917065468285,7065468285;+91-7065468285;+91 70654 68285,P-000014,active,BSNL
PH-000262,+917895375695,7895375695;+91-7895375695;+91 78953 75695,P-000015,active,Airtel
PH-000263,+917297012626,7297012626;+91-7297012626;+91 72970 12626,P-000016,active,Vi
PH-000264,+916943933508,6943933508;+91-6943933508;+91 69439 33508,P-000017,active,Airtel
PH-000265,+919650568753,9650568753;+91-9650568753;+91 96505 68753,P-000018,active,Vi
PH-000266,+917357571630,7357571630;+91-7357571630;+91 73575 71630,P-000019,active,BSNL
PH-000267,+916796871158,6796871158;+91-6796871158;+91 67968 71158,P-000020,active,Jio
PH-000268,+916634752245,6634752245;+91-6634752245;+91 66347 52245,P-000021,active,Vi
PH-000269,+918031451393,8031451393;+91-8031451393;+91 80314 51393,P-000022,active,Airtel
PH-000270,+919632173699,9632173699;+91-9632173699;+91 96321 73699,P-000023,active,Jio
PH-000271,+916421702734,6421702734;+91-6421702734;+91 64217 02734,P-000024,active,Jio
PH-000272,+918798380500,8798380500;+91-8798380500;+91 87983 80500,P-000025,active,BSNL
PH-000273,+916292600439,6292600439;+91-6292600439;+91 62926 00439,P-000026,active,BSNL
PH-000274,+918514518089,8514518089;+91-8514518089;+91 85145 18089,P-000027,active,Jio
PH-000275,+916953219477,6953219477;+91-6953219477;+91 69532 19477,P-000028,active,Airtel
PH-000276,+916814745598,6814745598;+91-6814745598;+91 68147 45598,P-000029,active,BSNL
PH-000277,+918763550643,8763550643;+91-8763550643;+91 87635 50643,P-000030,active,Jio
PH-000278,+916242571527,6242571527;+91-6242571527;+91 62425 71527,P-000031,active,Jio
PH-000279,+919468288410,9468288410;+91-9468288410;+91 94682 88410,P-000032,active,Airtel
PH-000280,+919702203848,9702203848;+91-9702203848;+91 97022 03848,P-000033,active,Jio
PH-000281,+917870707916,7870707916;+91-7870707916;+91 78707 07916,P-000034,active,Vi
PH-000282,+917261215466,7261215466;+91-7261215466;+91 72612 15466,P-000035,active,Airtel
PH-000283,+917058905995,7058905995;+91-7058905995;+91 70589 05995,P-000036,active,BSNL
PH-000284,+918052876446,8052876446;+91-8052876446;+91 80528 76446,P-000037,active,BSNL
PH-000285,+919253812604,9253812604;+91-9253812604;+91 92538 12604,P-000038,active,BSNL
PH-000286,+916439750135,6439750135;+91-6439750135;+91 64397 50135,P-000039,active,Jio
PH-000287,+917372495582,7372495582;+91-7372495582;+91 73724 95582,P-000040,active,Vi
PH-000288,+916678465037,6678465037;+91-6678465037;+91 66784 65037,P-000041,active,Airtel
PH-000289,+919279775137,9279775137;+91-9279775137;+91 92797 75137,P-000042,active,Jio
PH-000290,+918044694741,8044694741;+91-8044694741;+91 80446 94741,P-000043,active,Airtel
PH-000291,+918926253628,8926253628;+91-8926253628;+91 89262 53628,P-000044,active,BSNL
PH-000292,+918981001647,8981001647;+91-8981001647;+91 89810 01647,P-000045,active,Jio
PH-000293,+917635716279,7635716279;+91-7635716279;+91 76357 16279,P-000046,active,Jio
PH-000294,+916422201940,6422201940;+91-6422201940;+91 64222 01940,P-000047,active,Airtel
PH-000295,+918550419459,8550419459;+91-8550419459;+91 85504 19459,P-000048,active,Vi
